"Ausprägung","Jahr","Raumbezug","Bevölkerungsdichte","Hauptwohnsitzbevölkerung","Fläche_in_km²","BezirksID"
"insgesamt",2003,"Stadt München",4084,1267813,310.4,26
"insgesamt",2003,"Altstadt",5740,18159,3.2,1
"insgesamt",2003,"Ludwigsvorstadt",9946,43637,4.4,2
"insgesamt",2003,"Maxvorstadt",9674,41502,4.3,3
"insgesamt",2003,"Schwabing-West",12440,54351,4.4,4
"insgesamt",2003,"Haidhausen",12243,51636,4.2,5
"insgesamt",2003,"Sendling",8915,35113,3.9,6
"insgesamt",2003,"Sendling-Westpark",6216,48564,7.8,7
"insgesamt",2003,"Schwanthalerhöhe",12220,25328,2.1,8
"insgesamt",2003,"Neuhausen",6321,81661,12.9,9
"insgesamt",2003,"Moosach",4198,46546,11.1,10
"insgesamt",2003,"Milbertshofen",4628,61886,13.4,11
"insgesamt",2003,"Schwabing",2346,60215,25.7,12
"insgesamt",2003,"Bogenhausen",3081,73070,23.7,13
"insgesamt",2003,"Berg am Laim",5958,37628,6.3,14
"insgesamt",2003,"Trudering",2134,47919,22.5,15
"insgesamt",2003,"Ramersdorf",5063,100735,19.9,16
"insgesamt",2003,"Obergiesing",7838,44761,5.7,17
"insgesamt",2003,"Untergiesing",5795,46707,8.1,18
"insgesamt",2003,"Thalkirchen",4385,77850,17.8,19
"insgesamt",2003,"Hadern",4642,42823,9.2,20
"insgesamt",2003,"Pasing",3728,61509,16.5,21
"insgesamt",2003,"Aubing",1103,37566,34.1,22
"insgesamt",2003,"Allach",1745,26977,15.5,23
"insgesamt",2003,"Feldmoching",1845,52961,28.7,24
"insgesamt",2003,"Laim",9214,48708,5.3,25
"insgesamt",2002,"Stadt München",4073,1264309,310.4,26
"insgesamt",2002,"Altstadt",5751,18193,3.2,1
"insgesamt",2002,"Ludwigsvorstadt",10042,44059,4.4,2
"insgesamt",2002,"Maxvorstadt",9697,41606,4.3,3
"insgesamt",2002,"Schwabing-West",12422,54272,4.4,4
"insgesamt",2002,"Haidhausen",12330,52000,4.2,5
"insgesamt",2002,"Sendling",8914,35102,3.9,6
"insgesamt",2002,"Sendling-Westpark",6201,48448,7.8,7
"insgesamt",2002,"Schwanthalerhöhe",12100,25080,2.1,8
"insgesamt",2002,"Neuhausen",6343,81947,12.9,9
"insgesamt",2002,"Moosach",4179,46333,11.1,10
