"Ausprägung","Jahr","Raumbezug","Bevölkerungsdichte","Hauptwohnsitzbevölkerung","Fläche_in_km²","BezirksID"
"insgesamt",2016,"Milbertshofen",5684,76255,13.4,11
"insgesamt",2016,"Schwabing",3007,77188,25.7,12
"insgesamt",2016,"Bogenhausen",3676,87164,23.7,13
"insgesamt",2016,"Berg am Laim",7230,45655,6.3,14
"insgesamt",2016,"Trudering",3182,71448,22.5,15
"insgesamt",2016,"Ramersdorf",5725,113898,19.9,16
"insgesamt",2016,"Obergiesing",9577,54784,5.7,17
"insgesamt",2016,"Untergiesing",6709,54050,8.1,18
"insgesamt",2016,"Thalkirchen",5416,96200,17.8,19
"insgesamt",2016,"Hadern",5482,50567,9.2,20
"insgesamt",2016,"Pasing",4512,74432,16.5,21
"insgesamt",2016,"Aubing",1338,45571,34.1,22
"insgesamt",2016,"Allach",2087,32248,15.5,23
"insgesamt",2016,"Feldmoching",2134,61764,28.9,24
"insgesamt",2016,"Laim",10658,56335,5.3,25
"insgesamt",2015,"Stadt München",4897,1521678,310.7,26
"insgesamt",2015,"Altstadt",6715,21122,3.1,1
"insgesamt",2015,"Ludwigsvorstadt",12280,54049,4.4,2
"insgesamt",2015,"Maxvorstadt",12504,53743,4.3,3
"insgesamt",2015,"Schwabing-West",15706,68527,4.4,4
"insgesamt",2015,"Haidhausen",14574,61495,4.2,5
"insgesamt",2015,"Sendling",10379,40879,3.9,6
"insgesamt",2015,"Sendling-Westpark",7473,58398,7.8,7
"insgesamt",2015,"Schwanthalerhöhe",14675,30381,2.1,8
"insgesamt",2015,"Neuhausen",7643,98702,12.9,9
"insgesamt",2015,"Moosach",4801,53261,11.1,10
"insgesamt",2015,"Milbertshofen",5627,75488,13.4,11
"insgesamt",2015,"Schwabing",2922,75020,25.7,12
"insgesamt",2015,"Bogenhausen",3625,85947,23.7,13
"insgesamt",2015,"Berg am Laim",7132,45035,6.3,14
"insgesamt",2015,"Trudering",3110,69830,22.5,15
"insgesamt",2015,"Ramersdorf",5648,112371,19.9,16
"insgesamt",2015,"Obergiesing",9510,54402,5.7,17
"insgesamt",2015,"Untergiesing",6625,53377,8.1,18
"insgesamt",2015,"Thalkirchen",5269,93602,17.8,19
"insgesamt",2015,"Hadern",5449,50257,9.2,20
"insgesamt",2015,"Pasing",4444,73320,16.5,21
"insgesamt",2015,"Aubing",1282,43682,34.1,22
"insgesamt",2015,"Allach",2063,31882,15.5,23
"insgesamt",2015,"Feldmoching",2126,61534,28.9,24
"insgesamt",2015,"Laim",10476,55374,5.3,25
"insgesamt",2014,"Stadt München",4798,1490681,310.7,26
"insgesamt",2014,"Altstadt",6614,20806,3.1,1
"insgesamt",2014,"Ludwigsvorstadt",11855,52177,4.4,2
"insgesamt",2014,"Maxvorstadt",12233,52575,4.3,3
"insgesamt",2014,"Schwabing-West",15378,67094,4.4,4
"insgesamt",2014,"Haidhausen",14398,60756,4.2,5
"insgesamt",2014,"Sendling",10263,40422,3.9,6
"insgesamt",2014,"Sendling-Westpark",7228,56485,7.8,7
"insgesamt",2014,"Schwanthalerhöhe",14531,30083,2.1,8
"insgesamt",2014,"Neuhausen",7551,97521,12.9,9
"insgesamt",2014,"Moosach",4747,52657,11.1,10
"insgesamt",2014,"Milbertshofen",5565,74667,13.4,11
"insgesamt",2014,"Schwabing",2797,71802,25.7,12
"insgesamt",2014,"Bogenhausen",3539,83900,23.7,13
"insgesamt",2014,"Berg am Laim",6972,44022,6.3,14
"insgesamt",2014,"Trudering",3032,68063,22.5,15
"insgesamt",2014,"Ramersdorf",5534,110099,19.9,16
"insgesamt",2014,"Obergiesing",9220,52743,5.7,17
"insgesamt",2014,"Untergiesing",6510,52452,8.1,18
"insgesamt",2014,"Thalkirchen",5146,91412,17.8,19
"insgesamt",2014,"Hadern",5407,49874,9.2,20
"insgesamt",2014,"Pasing",4357,71880,16.5,21
"insgesamt",2014,"Aubing",1258,42859,34.1,22
"insgesamt",2014,"Allach",2029,31353,15.5,23
"insgesamt",2014,"Feldmoching",2082,60262,28.9,24
"insgesamt",2014,"Laim",10351,54714,5.3,25
"insgesamt",2013,"Stadt München",4715,1464962,310.7,26
"insgesamt",2013,"Altstadt",6492,20422,3.1,1
"insgesamt",2013,"Ludwigsvorstadt",11501,50620,4.4,2
"insgesamt",2013,"Maxvorstadt",12016,51642,4.3,3
"insgesamt",2013,"Schwabing-West",15102,65892,4.4,4
"insgesamt",2013,"Haidhausen",14160,59752,4.2,5
"insgesamt",2013,"Sendling",10144,39953,3.9,6
"insgesamt",2013,"Sendling-Westpark",7090,55405,7.8,7
"insgesamt",2013,"Schwanthalerhöhe",14328,29663,2.1,8
"insgesamt",2013,"Neuhausen",7426,95906,12.9,9
"insgesamt",2013,"Moosach",4646,51537,11.1,10
"insgesamt",2013,"Milbertshofen",5487,73617,13.4,11
"insgesamt",2013,"Schwabing",2714,69676,25.7,12
"insgesamt",2013,"Bogenhausen",3464,82138,23.7,13
"insgesamt",2013,"Berg am Laim",6820,43068,6.3,14
"insgesamt",2013,"Trudering",2985,67009,22.5,15
"insgesamt",2013,"Ramersdorf",5441,108244,19.9,16
"insgesamt",2013,"Obergiesing",9003,51499,5.7,17
"insgesamt",2013,"Untergiesing",6446,51937,8.1,18
"insgesamt",2013,"Thalkirchen",5111,90790,17.8,19
"insgesamt",2013,"Hadern",5306,48945,9.2,20
"insgesamt",2013,"Pasing",4290,70783,16.5,21
"insgesamt",2013,"Aubing",1242,42305,34.1,22
"insgesamt",2013,"Allach",1989,30737,15.5,23
"insgesamt",2013,"Feldmoching",2052,59391,28.9,24
"insgesamt",2013,"Laim",10222,54030,5.3,25
"insgesamt",2012,"Stadt München",4633,1439474,310.7,26
"insgesamt",2012,"Altstadt",6373,20048,3.1,1
"insgesamt",2012,"Ludwigsvorstadt",11282,49657,4.4,2
"insgesamt",2012,"Maxvorstadt",11838,50877,4.3,3
"insgesamt",2012,"Schwabing-West",14845,64770,4.4,4
"insgesamt",2012,"Haidhausen",13954,58881,4.2,5
