"Ausprägung","Jahr","Raumbezug","Mobilitätsziffer","außerstädtisch_Zugezogene","innerstädtisch_Zugezogene","außerstädtisch_Weggezogene","innerstädtisch_Weggezogene","mittlere_Hauptwohnsitzbevölkerung","BezirksID","Gesamtwegzug","Gesamtzuzug"
"deutsch",2006,"Schwabing-West",283.7,3008,3961,2351,3657,45748.3,4,6008,6969
"deutsch",2006,"Haidhausen",292.6,2679,3530,2173,3671,41186.6,5,5844,6209
"deutsch",2006,"Sendling",277.8,1530,2208,1446,2378,27217.1,6,3824,3738
"deutsch",2006,"Sendling-Westpark",219,1806,2540,1569,2551,38655.8,7,4120,4346
"deutsch",2006,"Schwanthalerhöhe",290.5,1032,1445,848,1428,16363.9,8,2276,2477
"deutsch",2006,"Neuhausen",254.6,3553,4923,3053,5180,65626.1,9,8233,8476
"deutsch",2006,"Moosach",194.8,1316,2005,1476,2150,35667.8,10,3626,3321
"deutsch",2006,"Milbertshofen",246.7,2366,2954,2056,3192,42845.8,11,5248,5320
"deutsch",2006,"Schwabing",257.5,2866,3263,2514,3524,47252.3,12,6038,6129
"deutsch",2006,"Bogenhausen",211.8,2772,3634,2855,3781,61580.3,13,6636,6406
"deutsch",2006,"Berg am Laim",219.4,1299,1778,1295,1921,28678.8,14,3216,3077
"deutsch",2006,"Trudering",223.6,1907,3692,1977,2291,44127.4,15,4268,5599
"deutsch",2006,"Ramersdorf",187,2645,4075,3278,3969,74706.8,16,7247,6720
"deutsch",2006,"Obergiesing",282.2,2089,2855,1983,2547,33573.1,17,4530,4944
"deutsch",2006,"Untergiesing",263.9,2151,3058,1925,2983,38335.6,18,4908,5209
"deutsch",2006,"Thalkirchen",214.5,2823,4261,2961,3869,64853.3,19,6830,7084
"deutsch",2006,"Hadern",180.4,1311,1948,1294,1850,35502.3,20,3144,3259
"deutsch",2006,"Pasing",198.9,2172,3123,2268,2872,52453.8,21,5140,5295
"deutsch",2006,"Aubing",180.2,1086,1698,1194,1544,30651.2,22,2738,2784
"deutsch",2006,"Allach",189.8,801,1438,885,1259,23091.9,23,2144,2239
"deutsch",2006,"Feldmoching",184.4,1325,2503,1431,2119,40002.9,24,3550,3828
"deutsch",2006,"Laim",224.7,1797,2642,1667,2636,38909.5,25,4303,4439
"deutsch",2005,"Stadt München",232.5,47114,69731,42301,69731,984594,26,112032,116845
"deutsch",2005,"Altstadt",296.9,1100,1105,783,1269,14340.2,1,2052,2205
"deutsch",2005,"Ludwigsvorstadt",349.2,2367,3049,1899,3461,30855.6,2,5360,5416
"deutsch",2005,"Maxvorstadt",321.2,2577,2598,1729,3236,31573.3,3,4965,5175
"deutsch",2005,"Schwabing-West",261.5,2448,3550,1941,3458,43576.9,4,5399,5998
"deutsch",2005,"Haidhausen",293.8,2657,3460,1924,3654,39807,5,5578,6117
"deutsch",2005,"Sendling",269.3,1398,2096,1309,2335,26506.4,6,3644,3494
"deutsch",2005,"Sendling-Westpark",218.9,1679,2628,1488,2470,37764,7,3958,4307
"deutsch",2005,"Schwanthalerhöhe",297.2,944,1482,759,1495,15747.2,8,2254,2426
"deutsch",2005,"Neuhausen",244.2,3054,4848,2594,5182,64205.3,9,7776,7902
"deutsch",2005,"Moosach",187.8,1200,2044,1250,2165,35459.6,10,3415,3244
"deutsch",2005,"Milbertshofen",247.4,1992,3220,1865,3207,41565.3,11,5072,5212
"deutsch",2005,"Schwabing",251.9,2506,3194,2135,3655,45616.8,12,5790,5700
"deutsch",2005,"Bogenhausen",210.9,2639,3845,2549,3759,60657.3,13,6308,6484
"deutsch",2005,"Berg am Laim",214.9,1159,1839,1148,1960,28415.3,14,3108,2998
"deutsch",2005,"Trudering",222.2,1957,3419,1796,2195,42163.3,15,3991,5376
"deutsch",2005,"Ramersdorf",186.9,2575,4371,2730,4222,74362.9,16,6952,6946
"deutsch",2005,"Obergiesing",271.6,1917,2689,1728,2507,32548.8,17,4235,4606
"deutsch",2005,"Untergiesing",265,2131,2930,1824,3065,37546.2,18,4889,5061
"deutsch",2005,"Thalkirchen",207.3,2710,4123,2641,3782,63935.5,19,6423,6833
"deutsch",2005,"Hadern",187.9,1230,2116,1218,1983,34841.6,20,3201,3346
"deutsch",2005,"Pasing",205,2232,3270,2119,2976,51688.4,21,5095,5502
"deutsch",2005,"Aubing",175.6,998,1631,1163,1598,30690.4,22,2761,2629
"deutsch",2005,"Allach",183.8,802,1438,828,1121,22793.4,23,1949,2240
"deutsch",2005,"Feldmoching",182.6,1288,2315,1380,2238,39535.4,24,3618,3603
"deutsch",2005,"Laim",213.6,1554,2471,1490,2686,38396.1,25,4176,4025
"deutsch",2004,"Stadt München",230.7,45405,69522,40955,69522,977249,26,110477,114927
"deutsch",2004,"Altstadt",289.1,979,1105,702,1264,14008,1,1966,2084
"deutsch",2004,"Ludwigsvorstadt",358.6,2403,3102,1897,3515,30447.3,2,5412,5505
"deutsch",2004,"Maxvorstadt",329.7,2424,2720,1775,3371,31208.3,3,5146,5144
"deutsch",2004,"Schwabing-West",276.6,2400,3920,1963,3554,42798.5,4,5517,6320
"deutsch",2004,"Haidhausen",277.1,2266,3225,1807,3528,39064.1,5,5335,5491
"deutsch",2004,"Sendling",267.8,1403,2265,1146,2223,26278.8,6,3369,3668
"deutsch",2004,"Sendling-Westpark",215.5,1464,2628,1409,2595,37566.8,7,4004,4092
"deutsch",2004,"Schwanthalerhöhe",334.3,934,1830,733,1654,15407.8,8,2387,2764
"deutsch",2004,"Neuhausen",249,3026,4862,2715,5294,63847.8,9,8009,7888
"deutsch",2004,"Moosach",192.5,1273,2100,1191,2255,35430.8,10,3446,3373
"deutsch",2004,"Milbertshofen",253.3,2119,3265,1860,3145,41020.5,11,5005,5384
"deutsch",2004,"Schwabing",242.1,2437,2957,2128,3555,45747.4,12,5683,5394
"deutsch",2004,"Bogenhausen",213.7,2596,3938,2514,3857,60399.2,13,6371,6534
"deutsch",2004,"Berg am Laim",214.9,1220,1911,1099,1846,28274.7,14,2945,3131
"deutsch",2004,"Trudering",204.4,1697,2892,1557,2190,40775,15,3747,4589
"deutsch",2004,"Ramersdorf",184.4,2489,4242,2845,4129,74326.7,16,6974,6731
"deutsch",2004,"Obergiesing",263.6,1817,2490,1659,2522,32196.5,17,4181,4307
"deutsch",2004,"Untergiesing",246.9,1963,2763,1724,2826,37565,18,4550,4726
"deutsch",2004,"Thalkirchen",202.5,2534,4084,2450,3793,63514.4,19,6243,6618
"deutsch",2004,"Hadern",185.9,1136,2200,1182,1911,34574.1,20,3093,3336
"deutsch",2004,"Pasing",203.4,2193,3322,1985,2935,51303.3,21,4920,5515
"deutsch",2004,"Aubing",172.5,1013,1685,1116,1491,30751.9,22,2607,2698
"deutsch",2004,"Allach",182.7,839,1380,731,1176,22581.8,23,1907,2219
"deutsch",2004,"Feldmoching",171.8,1205,2148,1244,2196,39546.2,24,3440,3353
"deutsch",2004,"Laim",211.4,1573,2488,1441,2659,38613.1,25,4100,4061
"deutsch",2003,"Stadt München",223,41709,64382,47121,64382,975670,26,111503,106091
"deutsch",2003,"Altstadt",291.4,910,1049,935,1209,14081.4,1,2144,1959
"deutsch",2003,"Ludwigsvorstadt",349.9,2184,2889,2180,3386,30408.5,2,5566,5073
"deutsch",2003,"Maxvorstadt",309.4,2064,2515,1981,3121,31289.7,3,5102,4579
"deutsch",2003,"Schwabing-West",252.4,2086,3092,2188,3355,42476.3,4,5543,5178
"deutsch",2003,"Haidhausen",261.1,1959,2959,2051,3218,39018,5,5269,4918
"deutsch",2003,"Sendling",257.9,1245,1986,1384,2114,26095.4,6,3498,3231
"deutsch",2003,"Sendling-Westpark",207.9,1417,2406,1555,2430,37559.4,7,3985,3823
"deutsch",2003,"Schwanthalerhöhe",295.3,817,1371,835,1439,15107.6,8,2274,2188
"deutsch",2003,"Neuhausen",233,2779,4409,3002,4745,64098.8,9,7747,7188
"deutsch",2003,"Moosach",188,1172,2058,1449,1957,35292.7,10,3406,3230
"deutsch",2003,"Milbertshofen",231.3,1731,2721,2105,2898,40877,11,5003,4452
"deutsch",2003,"Schwabing",238.8,2163,3026,2443,3388,46150.8,12,5831,5189
"deutsch",2003,"Bogenhausen",202,2497,3532,2705,3454,60326.5,13,6159,6029
"deutsch",2003,"Berg am Laim",202.6,1108,1630,1285,1691,28206.6,14,2976,2738
"deutsch",2003,"Trudering",203.3,1621,2645,1893,1980,40042.1,15,3873,4266
"deutsch",2003,"Ramersdorf",188.2,2457,4333,3245,3935,74240.8,16,7180,6790
"deutsch",2003,"Obergiesing",254.7,1593,2409,1836,2393,32312.3,17,4229,4002
"deutsch",2003,"Untergiesing",252.4,2022,2708,2162,2601,37615.8,18,4763,4730
"deutsch",2003,"Thalkirchen",196,2382,3808,2831,3426,63518.5,19,6257,6190
"deutsch",2003,"Hadern",177.6,1057,1888,1367,1810,34462,20,3177,2945
"deutsch",2003,"Pasing",202.3,2054,3290,2177,2762,50834.3,21,4939,5344
"deutsch",2003,"Aubing",174.5,959,1665,1374,1386,30854.1,22,2760,2624
"deutsch",2003,"Allach",181.4,714,1441,851,1056,22389.7,23,1907,2155
"deutsch",2003,"Feldmoching",177.1,1232,2113,1585,2094,39657,24,3679,3345
"deutsch",2003,"Laim",210,1485,2438,1686,2529,38754,25,4215,3923
"deutsch",2002,"Stadt München",215.3,44356,58649,48174,58649,974596.9,26,106823,103005
"deutsch",2002,"Altstadt",303,1067,993,1076,1165,14195.6,1,2241,2060
"deutsch",2002,"Ludwigsvorstadt",346.8,2336,2752,2316,3136,30389.8,2,5452,5088
"deutsch",2002,"Maxvorstadt",301.3,2145,2323,2127,2890,31483.5,3,5017,4468
"deutsch",2002,"Schwabing-West",238.5,2268,2733,2148,3027,42658.9,4,5175,5001
"deutsch",2002,"Haidhausen",252.9,2055,2787,2149,2874,39004.9,5,5023,4842
"deutsch",2002,"Sendling",258.6,1373,1994,1366,1983,25973.8,6,3349,3367
"deutsch",2002,"Sendling-Westpark",196.2,1524,2073,1612,2215,37841.2,7,3827,3597
"deutsch",2002,"Schwanthalerhöhe",287.8,889,1230,939,1237,14922.3,8,2176,2119
"deutsch",2002,"Neuhausen",231,3003,4205,3257,4365,64204.1,9,7622,7208
"deutsch",2002,"Moosach",183.2,1266,1866,1511,1804,35199.6,10,3315,3132
"deutsch",2002,"Milbertshofen",223.3,1935,2493,1963,2719,40789.7,11,4682,4428
"deutsch",2002,"Schwabing",227.9,2270,2970,2128,3134,46082.6,12,5262,5240
"deutsch",2002,"Bogenhausen",198.3,2700,3306,2692,3217,60083.1,13,5909,6006
"deutsch",2002,"Berg am Laim",207.4,1217,1619,1468,1528,28115.1,14,2996,2836
"deutsch",2002,"Trudering",204.7,1701,2604,1927,1782,39145,15,3709,4305
"deutsch",2002,"Ramersdorf",179.2,2571,3673,3431,3659,74423.1,16,7090,6244
"deutsch",2002,"Obergiesing",238.3,1711,2104,1830,2045,32266.8,17,3875,3815
"deutsch",2002,"Untergiesing",241.2,2030,2429,2188,2438,37665.6,18,4626,4459
"deutsch",2002,"Thalkirchen",188.6,2453,3445,2856,3215,63451.2,19,6071,5898
"deutsch",2002,"Hadern",183.3,1222,1959,1435,1683,34368.9,20,3118,3181
"deutsch",2002,"Pasing",188.4,2005,2726,2262,2522,50497.5,21,4784,4731
"deutsch",2002,"Aubing",150.7,947,1301,1238,1187,31007.1,22,2425,2248
"deutsch",2002,"Allach",162.3,709,1128,908,862,22229.6,23,1770,1837
"deutsch",2002,"Feldmoching",166.2,1367,1846,1608,1773,39670.8,24,3381,3213
"deutsch",2002,"Laim",195.5,1592,2090,1739,2189,38926.8,25,3928,3682
"deutsch",2001,"Stadt München",218.6,46732,60546,44277,60546,970182.7,26,104823,107278
"deutsch",2001,"Altstadt",296.9,1060,1073,910,1186,14246,1,2096,2133
"deutsch",2001,"Ludwigsvorstadt",347.9,2537,2759,2192,3080,30374.2,2,5272,5296
"deutsch",2001,"Maxvorstadt",290.8,2310,2279,1789,2773,31468.8,3,4562,4589
"deutsch",2001,"Schwabing-West",233,2284,2622,1935,3091,42619.7,4,5026,4906
"deutsch",2001,"Haidhausen",257.5,2214,2794,1966,3035,38870.1,5,5001,5008
"deutsch",2001,"Sendling",263.5,1418,2058,1295,2027,25800.6,6,3322,3476
"deutsch",2001,"Sendling-Westpark",195.1,1522,2122,1567,2143,37697.9,7,3710,3644
"deutsch",2001,"Schwanthalerhöhe",288.2,846,1296,772,1349,14793.5,8,2121,2142
"deutsch",2001,"Neuhausen",226.7,3067,4126,2936,4405,64122.1,9,7341,7193
"deutsch",2001,"Moosach",192,1444,1990,1426,1856,34972.9,10,3282,3434
"deutsch",2001,"Milbertshofen",230.4,2014,2654,1843,2797,40407.5,11,4640,4668
"deutsch",2001,"Schwabing",233.5,2539,2973,2005,3103,45485.5,12,5108,5512
"deutsch",2001,"Bogenhausen",199.3,2709,3346,2478,3335,59543.3,13,5813,6055
"deutsch",2001,"Berg am Laim",217.5,1269,1780,1328,1715,28004.1,14,3043,3049
"deutsch",2001,"Trudering",208,1850,2718,1688,1648,38003,15,3336,4568
"deutsch",2001,"Ramersdorf",188.1,2845,3894,3256,4037,74610.5,16,7293,6739
"deutsch",2001,"Obergiesing",257.6,1808,2349,1715,2394,32084.4,17,4109,4157
"deutsch",2001,"Untergiesing",251,2155,2685,2095,2485,37527.6,18,4580,4840
"deutsch",2001,"Thalkirchen",199.5,2763,3655,2895,3358,63503.8,19,6253,6418
"deutsch",2001,"Hadern",172.1,1176,1751,1225,1737,34208.8,20,2962,2927
"deutsch",2001,"Pasing",193.8,2273,2800,2072,2597,50280.8,21,4669,5073
"deutsch",2001,"Aubing",154.5,954,1471,1080,1282,30987.9,22,2362,2425
"deutsch",2001,"Allach",164.3,716,1148,781,982,22076.3,23,1763,1864
"deutsch",2001,"Feldmoching",163,1301,1935,1403,1805,39541.8,24,3208,3236
"deutsch",2001,"Laim",202.2,1658,2268,1625,2326,38951.7,25,3951,3926
"deutsch",2000,"Stadt München",227,47185,64875,40995,64875,960111.4,26,105870,112060
"deutsch",2000,"Altstadt",307,1098,1165,761,1297,14073.4,1,2058,2263
"deutsch",2000,"Ludwigsvorstadt",363.1,2734,2890,1941,3256,29805.5,2,5197,5624
"deutsch",2000,"Maxvorstadt",299,2265,2414,1644,2987,31137,3,4631,4679
"deutsch",2000,"Schwabing-West",247.9,2371,2968,1818,3379,42507.3,4,5197,5339
"deutsch",2000,"Haidhausen",269.6,2298,2981,1883,3265,38672.4,5,5148,5279
"deutsch",2000,"Sendling",243.3,1262,1887,1101,1923,25368.9,6,3024,3149
"deutsch",2000,"Sendling-Westpark",204.9,1486,2324,1444,2441,37547.3,7,3885,3810
"deutsch",2000,"Schwanthalerhöhe",282.1,904,1193,725,1311,14651.5,8,2036,2097
"deutsch",2000,"Neuhausen",225.9,3079,4255,2458,4612,63769.3,9,7070,7334
"deutsch",2000,"Moosach",194.5,1272,2197,1238,1997,34475.7,10,3235,3469
"deutsch",2000,"Milbertshofen",256.8,2273,2980,1841,3099,39697.8,11,4940,5253
"deutsch",2000,"Schwabing",259.3,2427,3317,2110,3764,44804.9,12,5874,5744
"deutsch",2000,"Bogenhausen",197.5,2664,3317,2430,3263,59123.6,13,5693,5981
"deutsch",2000,"Berg am Laim",236,1252,2129,1191,1946,27623.4,14,3137,3381
"deutsch",2000,"Trudering",220.3,1810,2870,1551,1798,36447.4,15,3349,4680
"deutsch",2000,"Ramersdorf",193.3,2924,4105,3111,4209,74214.1,16,7320,7029
"deutsch",2000,"Obergiesing",250.2,1734,2292,1637,2311,31865,17,3948,4026
"deutsch",2000,"Untergiesing",252.8,2179,2679,1853,2718,37297.4,18,4571,4858
"deutsch",2000,"Thalkirchen",202.4,2860,3966,2428,3442,62713.2,19,5870,6826
"deutsch",2000,"Hadern",185.9,1212,1970,1226,1920,34045.3,20,3146,3182
"deutsch",2000,"Pasing",204.5,2256,3104,2065,2750,49751.7,21,4815,5360
"deutsch",2000,"Aubing",156.3,969,1523,1006,1309,30745.9,22,2315,2492
"deutsch",2000,"Allach",167.7,761,1160,760,997,21937.3,23,1757,1921
"deutsch",2000,"Feldmoching",195.9,1358,2735,1226,2308,38928.8,24,3534,4093
"deutsch",2000,"Laim",213.6,1737,2454,1547,2573,38907.5,25,4120,4191
"insgesamt",2009,"Stadt München",316,100072,114836,99902,114836,1359550.9,26,214738,214908
"insgesamt",2009,"Altstadt",403.4,1963,1675,2021,2028,19053.4,1,4049,3638
"insgesamt",2009,"Ludwigsvorstadt",497.3,5898,5202,5847,6282,46713.2,2,12129,11100
"insgesamt",2009,"Maxvorstadt",433.2,5685,4806,4915,5561,48400.3,3,10476,10491
"insgesamt",2009,"Schwabing-West",339.4,4881,5499,4575,6052,61895.9,4,10627,10380
"insgesamt",2009,"Haidhausen",343.1,4359,5065,4116,5491,55463.9,5,9607,9424
"insgesamt",2009,"Sendling",343.9,2869,3548,3026,3654,38089.3,6,6680,6417
"insgesamt",2009,"Sendling-Westpark",286.8,3194,4304,3166,4243,51974.9,7,7409,7498
"insgesamt",2009,"Schwanthalerhöhe",375.5,2297,2895,2420,2799,27723.2,8,5219,5192
"insgesamt",2009,"Neuhausen",343.5,7070,8387,6582,7918,87206.6,9,14500,15457
"insgesamt",2009,"Moosach",303.3,3675,3752,3495,3695,48200.7,10,7190,7427
"insgesamt",2009,"Milbertshofen",347.1,5416,6300,5176,6614,67726,11,11790,11716
"insgesamt",2009,"Schwabing",356.1,5730,5513,5486,5938,63646.2,12,11424,11243
"insgesamt",2009,"Bogenhausen",269.4,4775,5373,5068,5438,76669.6,13,10506,10148
"insgesamt",2009,"Berg am Laim",290.6,2315,3364,2465,3418,39782.7,14,5883,5679
"insgesamt",2009,"Trudering",268.7,3579,5230,3586,3682,59836.3,15,7268,8809
"insgesamt",2009,"Ramersdorf",246,5304,7385,5987,6785,103510.5,16,12772,12689
"insgesamt",2009,"Obergiesing",377.1,4811,4412,4524,4344,47977.2,17,8868,9223
"insgesamt",2009,"Untergiesing",332.3,3500,4512,3616,4638,48947.2,18,8254,8012
"insgesamt",2009,"Thalkirchen",318.5,6575,6579,6541,6535,82362.7,19,13076,13154
"insgesamt",2009,"Hadern",265.6,2772,3522,2704,3301,46309.5,20,6005,6294
"insgesamt",2009,"Pasing",267.6,3887,4825,4173,4521,65049.3,21,8694,8712
"insgesamt",2009,"Aubing",226.8,1859,2504,2042,2255,38179.8,22,4297,4363
"insgesamt",2009,"Allach",250.2,1436,2128,1684,1907,28592.6,23,3591,3564
"insgesamt",2009,"Feldmoching",254.1,2987,3823,3677,3512,55094.3,24,7189,6810
"insgesamt",2009,"Laim",286.7,3206,4233,3003,4221,51142.3,25,7224,7439
"insgesamt",2008,"Stadt München",302.3,98073,114987,82553,114987,1358336,26,197540,213060
"insgesamt",2008,"Altstadt",365.8,2050,1635,1488,1906,19354.8,1,3394,3685
"insgesamt",2008,"Ludwigsvorstadt",446.7,5895,5116,4262,5791,47159.2,2,10053,11011
"insgesamt",2008,"Maxvorstadt",394.3,5614,4533,3567,5326,48290.2,3,8893,10147
"insgesamt",2008,"Schwabing-West",333.5,5025,5848,3969,5859,62070.2,4,9828,10873
"insgesamt",2008,"Haidhausen",331.5,4374,5123,3420,5520,55612.2,5,8940,9497
"insgesamt",2008,"Sendling",327.1,2895,3439,2339,3783,38082.3,6,6122,6334
"insgesamt",2008,"Sendling-Westpark",278.4,3209,4334,2593,4304,51870.3,7,6897,7543
"insgesamt",2008,"Schwanthalerhöhe",383.6,2328,3340,1794,3043,27382.6,8,4837,5668
"insgesamt",2008,"Neuhausen",314.7,6655,7439,5470,7623,86382,9,13093,14094
"insgesamt",2008,"Moosach",269.8,2965,3585,2803,3697,48368.6,10,6500,6550
"insgesamt",2008,"Milbertshofen",340.4,5068,6642,4419,6922,67710.9,11,11341,11710
"insgesamt",2008,"Schwabing",352.3,6172,5404,4819,6106,63865.3,12,10925,11576
"insgesamt",2008,"Bogenhausen",252.4,4805,4983,4249,5365,76878.8,13,9614,9788
"insgesamt",2008,"Berg am Laim",283.6,2299,3434,2136,3440,39870.9,14,5576,5733
"insgesamt",2008,"Trudering",273.6,3281,5749,2922,3902,57946.8,15,6824,9030
"insgesamt",2008,"Ramersdorf",248,5438,7783,5056,7468,103798.8,16,12524,13221
"insgesamt",2008,"Obergiesing",355.9,4521,4341,3872,4348,47996.1,17,8220,8862
"insgesamt",2008,"Untergiesing",320.4,3518,4595,3037,4585,49107.5,18,7622,8113
"insgesamt",2008,"Thalkirchen",289.8,5760,6473,5329,6331,82444,19,11660,12233
"insgesamt",2008,"Hadern",250.8,2694,3297,2267,3314,46137.5,20,5581,5991
"insgesamt",2008,"Pasing",255.1,3946,4549,3707,4335,64838.2,21,8042,8495
"insgesamt",2008,"Aubing",226.7,1837,2607,1912,2296,38169.5,22,4208,4444
"insgesamt",2008,"Allach",243,1509,2230,1440,1755,28539.2,23,3195,3739
"insgesamt",2008,"Feldmoching",251.2,2991,4152,3139,3681,55578.7,24,6820,7143
"insgesamt",2008,"Laim",282.2,3196,4356,2526,4280,50879.3,25,6806,7552
"insgesamt",2007,"Stadt München",300.4,96491,114740,76360,114740,1339368.5,26,191100,211231
"insgesamt",2007,"Altstadt",355.8,1964,1574,1341,1907,19072.8,1,3248,3538
"insgesamt",2007,"Ludwigsvorstadt",437,5594,4753,4152,5646,46103.2,2,9798,10347
"insgesamt",2007,"Maxvorstadt",405.1,5256,4857,3578,5273,46813.4,3,8851,10113
"insgesamt",2007,"Schwabing-West",333.4,5112,5770,3589,5785,60747.5,4,9374,10882
"insgesamt",2007,"Haidhausen",330.2,4246,5101,3266,5510,54878.7,5,8776,9347
"insgesamt",2007,"Sendling",320.8,2775,3485,2132,3666,37586.7,6,5798,6260
"insgesamt",2007,"Sendling-Westpark",272,3148,4220,2407,4183,51319.1,7,6590,7368
"insgesamt",2007,"Schwanthalerhöhe",348.8,2015,2857,1567,2778,26427.7,8,4345,4872
"insgesamt",2007,"Neuhausen",313.8,6399,7472,4772,8122,85296,9,12894,13871
"insgesamt",2007,"Moosach",265.1,2932,3679,2547,3579,48050.6,10,6126,6611
"insgesamt",2007,"Milbertshofen",347,5475,6534,4309,7117,67535.5,11,11426,12009
"insgesamt",2007,"Schwabing",340,5794,5540,4322,5774,63029.9,12,10096,11334
"insgesamt",2007,"Bogenhausen",253.7,4606,5341,3893,5473,76111.5,13,9366,9947
"insgesamt",2007,"Berg am Laim",292.2,2388,3637,2059,3417,39361.5,14,5476,6025
"insgesamt",2007,"Trudering",275.9,3386,5313,2943,3632,55357.4,15,6575,8699
"insgesamt",2007,"Ramersdorf",245.1,5207,7728,4949,7426,103251.7,16,12375,12935
"insgesamt",2007,"Obergiesing",350.1,4401,4229,3588,4363,47357.2,17,7951,8630
"insgesamt",2007,"Untergiesing",323.4,3559,4731,2715,4677,48491.3,18,7392,8290
"insgesamt",2007,"Thalkirchen",298,6214,6642,4863,6577,81536,19,11440,12856
"insgesamt",2007,"Hadern",243.2,2740,3249,1951,3116,45468.1,20,5067,5989
"insgesamt",2007,"Pasing",261.1,3889,4959,3248,4703,64345,21,7951,8848
"insgesamt",2007,"Aubing",216.5,1694,2525,1702,2292,37940.1,22,3994,4219
"insgesamt",2007,"Allach",238,1418,2098,1439,1716,28027.5,23,3155,3516
"insgesamt",2007,"Feldmoching",257.3,3307,4316,2681,3816,54868.6,24,6497,7623
"insgesamt",2007,"Laim",269,2945,4130,2291,4188,50388.3,25,6479,7075
"insgesamt",2006,"Stadt München",301.1,92390,110318,81535,110318,1310208.6,26,191853,202708
"insgesamt",2006,"Altstadt",363.1,1811,1527,1587,1902,18800.8,1,3489,3338
"insgesamt",2006,"Ludwigsvorstadt",435.1,5239,4681,4205,5456,45002.6,2,9661,9920
"insgesamt",2006,"Maxvorstadt",425.7,5319,4712,3807,5054,44382.3,3,8861,10031
"insgesamt",2006,"Schwabing-West",347,4844,5826,3993,5444,57940.5,4,9437,10670
"insgesamt",2006,"Haidhausen",340.2,4305,5065,3460,5398,53577.3,5,8858,9370
"insgesamt",2006,"Sendling",326.2,2631,3403,2341,3600,36713.8,6,5941,6034
"insgesamt",2006,"Sendling-Westpark",266.9,2920,4055,2497,3949,50276.4,7,6446,6975
"insgesamt",2006,"Schwanthalerhöhe",340.4,1959,2464,1765,2633,25914.1,8,4398,4423
"insgesamt",2006,"Neuhausen",315.1,6394,7070,5179,7718,83650.3,9,12897,13464
"insgesamt",2006,"Moosach",255.6,2627,3447,2745,3331,47543.3,10,6076,6074
"insgesamt",2006,"Milbertshofen",340.9,5234,6382,4390,6493,65999.3,11,10883,11616
"insgesamt",2006,"Schwabing",348.1,5646,5306,4650,5779,61423,12,10429,10952
"insgesamt",2006,"Bogenhausen",259.7,4619,5211,4410,5206,74864.7,13,9616,9830
"insgesamt",2006,"Berg am Laim",268.1,2216,3033,2033,3107,38757.5,14,5140,5249
"insgesamt",2006,"Trudering",279.9,3250,5148,3056,3229,52451.4,15,6285,8398
"insgesamt",2006,"Ramersdorf",241.8,5025,7395,5365,6944,102266.8,16,12309,12420
"insgesamt",2006,"Obergiesing",358.9,4266,4642,3426,4261,46238.1,17,7687,8908
"insgesamt",2006,"Untergiesing",315.4,3373,4377,2892,4374,47611.7,18,7266,7750
"insgesamt",2006,"Thalkirchen",290.8,5698,6247,5099,6203,79940.2,19,11302,11945
"insgesamt",2006,"Hadern",229.7,2221,3122,2021,2893,44661.3,20,4914,5343
"insgesamt",2006,"Pasing",249.3,3634,4421,3472,4257,63306.5,21,7729,8055
"insgesamt",2006,"Aubing",224.1,1710,2584,1815,2334,37681.8,22,4149,4294
"insgesamt",2006,"Allach",248.9,1410,2005,1628,1840,27659.2,23,3468,3415
"insgesamt",2006,"Feldmoching",263.6,3251,4135,3228,3614,53975.8,24,6842,7386
"insgesamt",2006,"Laim",267.3,2772,4060,2436,3981,49569.6,25,6417,6832
"insgesamt",2005,"Stadt München",304.5,90226,112361,75294,112361,1281724.7,26,187655,202587
"insgesamt",2005,"Altstadt",362.4,1923,1604,1317,1881,18554.3,1,3198,3527
"insgesamt",2005,"Ludwigsvorstadt",453.7,5198,4936,4046,5683,43776.2,2,9729,10134
"insgesamt",2005,"Maxvorstadt",396.6,4452,4124,3100,4964,41952.7,3,8064,8576
"insgesamt",2005,"Schwabing-West",337.5,4497,5340,3566,5377,55637.4,4,8943,9837
"insgesamt",2005,"Haidhausen",351.7,4360,5136,3276,5547,52093,5,8823,9496
"insgesamt",2005,"Sendling",328.2,2512,3415,2131,3714,35872.8,6,5845,5927
"insgesamt",2005,"Sendling-Westpark",274,2944,4201,2207,4095,49082.9,7,6302,7145
"insgesamt",2005,"Schwanthalerhöhe",357.4,1950,2676,1623,2846,25445.1,8,4469,4626
"insgesamt",2005,"Neuhausen",322.2,6066,7280,5030,8093,82149.8,9,13123,13346
"insgesamt",2005,"Moosach",268.2,2790,3672,2578,3601,47131.7,10,6179,6462
"insgesamt",2005,"Milbertshofen",368.2,5270,7252,4413,6624,63992.5,11,11037,12522
"insgesamt",2005,"Schwabing",355.1,5247,5434,4482,6034,59692.7,12,10516,10681
"insgesamt",2005,"Bogenhausen",265.3,4531,5662,3973,5330,73477.1,13,9303,10193
"insgesamt",2005,"Berg am Laim",275.9,2137,3241,1932,3250,38268.6,14,5182,5378
"insgesamt",2005,"Trudering",288.5,3317,4889,2929,3291,49997.6,15,6220,8206
"insgesamt",2005,"Ramersdorf",244,5091,7815,4478,7361,101396.2,16,11839,12906
"insgesamt",2005,"Obergiesing",339.8,3469,4426,3115,4203,44764.3,17,7318,7895
"insgesamt",2005,"Untergiesing",324.6,3410,4415,2742,4569,46636.8,18,7311,7825
"insgesamt",2005,"Thalkirchen",288.6,5804,6115,4593,6199,78703.1,19,10792,11919
